Package^LibPath^Version^Priority^Built
acepack^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.4.1^^3.5.2
assertthat^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.2.0^^3.5.2
backports^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.1.3^^3.5.2
base64enc^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.1-3^^3.5.2
BH^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.69.0-1^^3.5.2
bindr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.1.1^^3.5.2
bindrcpp^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.2.2^^3.5.2
bitops^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.0-6^^3.5.2
broom^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.5.1^^3.5.2
callr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^3.1.1^^3.5.2
caret^C:/Users/michael.flanigan/Documents/R/win-library/3.5^6.0-81^^3.5.2
caTools^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.17.1.1^^3.5.2
cellranger^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.1.0^^3.5.2
checkmate^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.9.0^^3.5.2
cli^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.0.1^^3.5.2
clipr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.5.0^^3.5.2
clisymbols^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.2.0^^3.5.2
colorspace^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.3-2^^3.5.2
crayon^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.3.4^^3.5.2
curl^C:/Users/michael.flanigan/Documents/R/win-library/3.5^3.3^^3.5.2
data.table^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.11.8^^3.5.2
DBI^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.0.0^^3.5.2
dbplyr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.3.0^^3.5.2
desc^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.2.0^^3.5.2
devtools^C:/Users/michael.flanigan/Documents/R/win-library/3.5^2.0.1^^3.5.2
digest^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.6.18^^3.5.2
dplyr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.7.8^^3.5.2
evaluate^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.12^^3.5.2
fansi^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.4.0^^3.5.2
forcats^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.3.0^^3.5.2
foreach^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.4.4^^3.5.2
formattable^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.2.0.1^^3.5.2
Formula^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.2-3^^3.5.2
fs^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.2.6^^3.5.2
generics^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.0.2^^3.5.2
ggplot2^C:/Users/michael.flanigan/Documents/R/win-library/3.5^3.1.0^^3.5.2
gh^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.0.1^^3.5.2
git2r^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.24.0^^3.5.2
glue^C:/Users/michael.flanigan/Documents/R/win-library/3.5^1.3.0^^3.5.2
gower^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.1.2^^3.5.2
gridExtra^C:/Users/michael.flanigan/Documents/R/win-library/3.5^2.3^^3.5.2
gtable^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.2.0^^3.5.2
haven^C:/Users/michael.flanigan/Documents/R/win-library/3.5^2.0.0^^3.5.2
here^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.1^^3.5.2
highr^C:/Users/michael.flanigan/Documents/R/win-library/3.5^0.7^^3.5.2
